범죄중분류,경기 고양,경기 과천,경기 광명,경기 광주,경기 구리,경기 군포,경기 김포,경기 남양주,경기 동두천,경기 부천,경기 성남,경기 수원,경기 시흥,경기 안산,경기 안성,경기 안양,경기 양주,경기 여주,경기 오산,경기 용인,경기 의왕,경기 의정부,경기 이천,경기 파주,경기 평택,경기 포천,경기 하남,경기 화성
살인기수,8,2,1,4,0,1,2,5,0,7,4,6,9,8,0,2,1,1,2,7,0,0,3,3,1,4,1,7
살인미수등,9,0,1,8,3,1,3,6,3,13,6,7,6,12,2,6,2,3,2,5,0,7,2,4,6,3,0,8
강도,14,0,4,4,6,5,7,12,0,25,30,38,14,42,2,7,5,5,4,11,1,15,8,5,20,3,1,12
강간,73,0,12,25,22,26,33,50,6,105,83,157,36,86,23,52,19,13,23,53,8,67,23,29,50,17,11,32
유사강간,9,0,0,3,1,2,5,2,0,12,12,21,5,2,0,4,1,0,2,9,0,10,3,3,6,1,1,4
강제추행,256,20,77,49,73,67,75,132,36,291,319,425,171,242,42,180,44,17,81,209,30,157,59,89,161,47,25,133
기타강간강제추행등,7,0,2,2,3,0,2,9,0,7,14,23,6,6,3,4,3,2,2,7,0,6,4,2,4,3,0,2
방화,40,1,6,6,9,7,13,26,1,38,29,40,25,30,4,12,8,2,4,15,5,22,10,9,19,17,4,14
절도,3287,170,1234,1072,1042,944,1082,1888,410,5048,3941,6487,1791,4154,844,2142,719,417,1164,2791,307,2304,655,1136,2160,580,575,2178
상해,490,22,147,237,181,142,160,392,102,524,734,938,295,694,141,396,157,130,149,454,57,326,161,261,460,229,104,410
폭행,2268,118,1188,823,893,826,731,1573,422,3129,3149,4123,1465,3209,551,1720,747,313,826,1710,250,1901,668,1078,1636,566,378,1327
체포감금,15,1,4,5,4,2,4,15,4,12,21,25,6,17,5,11,2,4,7,13,3,9,2,2,9,3,2,10
협박,170,9,73,61,36,43,49,101,18,167,170,272,94,242,43,83,47,26,34,115,19,109,29,74,95,39,19,89
약취유인,3,0,0,2,2,0,0,6,0,5,1,10,1,1,2,0,1,1,1,5,0,1,9,9,3,2,0,1
폭력행위등,462,10,144,220,183,131,171,395,114,591,577,1101,375,757,138,385,103,94,177,365,44,323,141,238,444,193,81,374
공갈,34,1,19,17,17,5,10,21,9,82,47,89,33,49,17,37,11,4,14,47,3,26,5,15,26,7,12,24
손괴,806,54,332,363,258,327,354,609,168,1158,1060,1497,649,1385,229,630,256,114,327,704,112,634,220,430,710,187,152,503
직무유기,10,1,1,2,2,0,1,6,0,3,8,7,4,6,2,4,1,6,1,3,2,2,0,1,1,1,0,6
직권남용,7,0,1,1,0,2,1,3,0,5,7,12,3,4,1,6,0,3,2,2,3,2,0,3,4,0,0,3
증수뢰,2,2,2,1,2,0,1,1,1,3,2,3,17,2,5,1,0,0,0,3,0,0,0,3,2,0,0,2
통화,36,6,11,10,9,3,6,19,6,17,45,32,15,21,5,26,5,3,1,22,2,26,1,8,24,4,9,6
문서인장,219,17,35,62,53,70,77,134,42,246,197,315,102,235,50,141,66,27,45,183,18,123,49,85,139,54,51,126
유가증권인지,12,1,2,4,4,1,3,3,1,5,1,6,7,4,0,0,0,0,2,0,0,3,0,8,2,1,1,5
사기,3861,168,1295,1355,1229,942,1075,1878,469,5727,4229,5749,2453,4197,722,2249,881,589,946,3312,354,2117,846,1888,2638,792,489,1968
횡령,1218,79,385,267,191,265,412,530,105,1084,1038,1231,443,912,160,557,193,69,191,655,107,525,178,400,482,132,125,496
배임,76,6,6,40,11,21,31,50,4,64,60,62,29,54,14,37,18,7,7,74,9,17,19,48,36,19,15,62
성풍속범죄,288,24,46,38,104,46,72,77,23,360,315,368,305,491,58,244,31,28,44,156,20,126,27,71,163,16,25,97
도박범죄,108,1,34,42,22,33,52,53,13,115,115,343,89,131,17,69,25,16,13,63,14,39,28,34,52,19,50,53
특별경제범죄,1278,60,818,360,299,383,420,589,107,1449,1749,1596,623,1597,322,902,226,108,342,831,138,613,209,667,928,287,147,631
마약범죄,82,4,15,22,16,15,13,24,25,56,79,118,41,71,92,37,25,114,18,137,6,103,10,48,124,38,10,56
보건범죄,223,6,90,87,62,45,68,261,20,162,244,368,302,134,51,88,77,22,32,170,19,86,41,102,94,50,41,186
환경범죄,30,3,2,52,9,0,14,52,5,14,4,25,58,29,3,5,44,4,7,60,5,15,43,51,355,119,13,171
교통범죄,11926,720,2740,3660,2151,2121,3726,4795,954,10467,8900,14715,7830,11372,2490,5909,2547,1687,2009,7716,1722,3670,2653,6218,7646,2677,2583,5902
노동범죄,13,0,6,13,2,4,4,6,0,21,9,28,5,26,3,34,5,1,1,5,0,5,0,5,29,2,1,15
안보범죄,1,0,1,0,0,0,0,0,0,2,2,3,0,2,0,2,0,0,0,2,0,0,0,0,0,1,0,0
선거범죄,4,1,3,0,2,0,3,0,0,0,2,2,3,1,7,3,1,8,0,8,1,0,9,11,8,0,0,6
병역범죄,360,10,61,170,71,53,50,312,44,355,362,433,228,332,101,201,137,19,104,235,34,188,71,142,156,105,36,225
기타범죄,3473,174,1138,1135,699,672,1205,2361,372,3804,3297,4856,1961,3293,939,1924,847,368,913,2304,305,1642,829,1355,2122,881,482,2058
