국적별	시점	계	남자	여자
몽골	2013	4331	2553	1778
미국	2013	26622	12833	13789
베트남	2013	22248	7811	14437
스리랑카	2013	5274	5064	210
우즈베키스탄	2013	12333	8283	4050
일본	2013	5891	2084	3807
중국	2013	178606	92777	85829
태국	2013	18335	11371	6964
필리핀	2013	11963	6589	5374
몽골	2014	3966	2150	1816
미국	2014	24500	11603	12897
베트남	2014	28012	13477	14535
스리랑카	2014	4836	4633	203
우즈베키스탄	2014	12920	8528	4392
일본	2014	4736	1368	3368
중국	2014	192858	97151	95707
태국	2014	48326	27422	20904
필리핀	2014	10717	5837	4880
몽골	2015	8286	4148	4138
미국	2015	22741	10546	12195
베트남	2015	30244	14099	16145
스리랑카	2015	5462	5250	212
우즈베키스탄	2015	14246	9188	5058
일본	2015	4589	1202	3387
중국	2015	177001	87569	89432
태국	2015	20122	9103	11019
필리핀	2015	9867	5532	4335
몽골	2016	8155	3845	4310
미국	2016	21771	10147	11624
베트남	2016	40099	19397	20702
스리랑카	2016	7093	6892	201
우즈베키스탄	2016	16151	9918	6233
일본	2016	4662	1225	3437
중국	2016	165494	81136	84358
태국	2016	28457	12452	16005
필리핀	2016	9530	5495	4035
몽골	2017	11781	5902	5879
미국	2017	19848	9095	10753
베트남	2017	47964	23822	24142
스리랑카	2017	3878	3705	173
우즈베키스탄	2017	18486	11833	6653
일본	2017	4469	1033	3436
중국	2017	156848	79489	77359
태국	2017	71506	33221	38285
필리핀	2017	8988	5185	3803
몽골	2018	10166	4957	5209
미국	2018	21171	9461	11710
베트남	2018	55992	27922	28070
스리랑카	2018	3913	3696	217
우즈베키스탄	2018	18818	12214	6604
일본	2018	5222	1199	4023
중국	2018	169336	86358	82978
태국	2018	80349	36886	43463
필리핀	2018	10053	5888	4165
몽골	2019	8715	4315	4400
미국	2019	20839	9395	11444
베트남	2019	61344	32214	29130
스리랑카	2019	4052	3869	183
우즈베키스탄	2019	25961	16298	9663
일본	2019	5058	1039	4019
중국	2019	138653	66759	71894
태국	2019	53290	20325	32965
필리핀	2019	9149	5516	3633
몽골	2020	7122	3214	3908
미국	2020	21296	10088	11208
베트남	2020	28005	10720	17285
스리랑카	2020	1188	1091	97
우즈베키스탄	2020	8012	5113	2899
일본	2020	4546	1332	3214
중국	2020	96256	48167	48089
태국	2020	8693	2230	6463
필리핀	2020	2939	1262	1677
몽골	2021	3884	1619	2265
미국	2021	17564	7038	10526
베트남	2021	17462	7955	9507
스리랑카	2021	1439	1313	126
우즈베키스탄	2021	13131	7833	5298
일본	2021	6208	1334	4874
중국	2021	95014	47937	47077
태국	2021	5194	2776	2418
필리핀	2021	1858	795	1063
	163377	2596104	1302091	1294013
