,구별,인구수,한국인,외국인,고령자,외국인비율,고령자비율,최근증가율,CCTV 설치비율,소계
1,종로구,164257,154770,9487,26182,5.775705144986211,15.939655539794348,110.42944785276075,0.20574477810155756,1715.0
2,중구,134593,125709,8884,21384,6.600640449354721,15.887899073503078,13937.5,0.2935612081717267,2447.0
3,용산구,244444,229161,15283,36882,6.252147731177693,15.088118342033349,6682.352941176471,0.31323592747706513,2611.0
4,성동구,312711,304808,7903,41273,2.5272535983703803,13.198448407635166,2033.128834355828,0.4593567086593958,3829.0
5,광진구,372298,357703,14595,43953,3.920246684107892,11.805865194011249,8625.714285714284,0.3852166078624497,3211.0
6,동대문구,366011,350647,15364,55718,4.1976880476269836,15.223039744707126,65250.0,0.3152753800879844,2628.0
7,중랑구,412780,408226,4554,59262,1.1032511265080673,14.356800232569409,900.8670520231213,0.44831967100030357,3737.0
8,성북구,455407,444055,11352,66251,2.4927153074063417,14.547646391030442,5275.308641975309,0.5520918185558996,4602.0
9,강북구,328002,324479,3523,56530,1.0740788165925819,17.23465100822556,38250.0,0.3707005039847305,3090.0
10,도봉구,346234,344166,2068,53488,0.5972839178128087,15.44851170017965,1389.0625,0.23153785523965367,1930.0
11,노원구,558075,554403,3672,74243,0.6579760784840748,13.303409040003583,inf,0.29895975920063056,2492.0
12,은평구,491202,486794,4408,74559,0.8973904829377731,15.178887708111938,29071.428571428572,0.49558698445337274,4131.0
13,서대문구,325028,312800,12228,49266,3.7621374158534033,15.15746335700309,262.60273972602744,0.36650163096224975,3055.0
14,마포구,385783,374915,10868,49615,2.817127763535459,12.860857010288168,10495.652173913044,0.29943963040319976,2496.0
15,양천구,475018,471154,3864,55234,0.8134428590074482,11.627769895035557,4573.239436619719,0.43788247234442274,3650.0
16,강서구,608255,601691,6564,76032,1.0791526580134976,12.500020550591445,4562.962962962963,0.3291916449624921,2744.0
17,구로구,441559,410742,30817,58794,6.979135291093602,13.315094925027008,374.5305164319249,0.5528116253597534,4608.0
18,금천구,253491,235154,18337,34170,7.233787392846295,13.47976851249157,inf,0.28924236734860365,2411.0
19,영등포구,402024,368550,33474,53981,8.326368575010447,13.427307822418562,543.7062937062936,0.48658939940519963,4056.0
20,동작구,408493,396217,12276,57255,3.0051922554364454,14.016152051565141,5404.878048780488,0.27664574828116134,2306.0
21,관악구,520929,503297,17632,70046,3.384722294209,13.44636217219621,953.1818181818181,0.6177142055072419,5149.0
22,서초구,445401,441102,4299,53205,0.9651976533505762,11.945415479534173,49025.0,0.4897085622218997,4082.0
23,강남구,561052,556164,4888,65060,0.8712204929311365,11.596073091264268,9665.217391304348,0.8242987582132955,6871.0
24,송파구,671173,664496,6677,76582,0.9948254771869548,11.410172936038846,6770.0,0.3475467184607651,2897.0
25,강동구,440359,436223,4136,56161,0.9392336707095802,12.753457974062071,853.3582089552239,0.3369895520042421,2809.0
